titre;marque;modele;version;finition;prix;prix_origine;economie;mensualite;annee;kilometrage;autonomie;carburant;boite;disponibilite;source;lien;modele_unifie;image
MG MG4 Electric 51kWh - 125 kW 2WD;Mg;MG4;Electric 51kWh - 125 kW 2WD;Standard;20 999 €;29 990 €;Économisez 8 991 € (-30%);Dès 195 €/mois;2026;0 km;350km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/mg/mg4/standard/v345576/;MG4;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_655cbb08451c7.jpg
Peugeot 2008 50 kWh - 136ch;Peugeot;2008;50 kWh - 136ch;Active;23 999 €;39 950 €;N/A;Dès 169 €/mois;2025;706 km;320km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/2008/active/rv974409/;2008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/974409/image/normal/peugeot-2008-electrique-active-20260223160009-974409-01-uhd.jpeg
Citroën C3 Aircross Turbo 100 BVM6;Citroen;C3-AIRCROSS;Turbo 100 BVM6;You;16 699 €;20 710 €;Économisez 4 011 € (-19%);Dès 143 €/mois;2026;0 km;N/A;Essence;Manuelle;8 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c3-aircross/you/v346557/;C3 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_695a5e9ca1d26.jpg
Renault R5 Autonomie Confort - 52 kWh - 150 ch;Renault;R5;Autonomie Confort - 52 kWh - 150 ch;Iconic cinq;28 699 €;35 490 €;N/A;Dès 342 €/mois;2025;6 007 km;410km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/r5/iconic-cinq/rv970416/;5;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/970416/image/360/renault-r5-iconic-cinq-20260219071253-970416-100001-uhd.jpg
Renault Symbioz Mild Hybrid 140 ch;Renault;SYMBIOZ;Mild Hybrid 140 ch;Evolution;24 999 €;31 200 €;Économisez 6 201 € (-20%);Dès 193 €/mois;2026;0 km;N/A;Micro-hybride essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/symbioz/evolution/v345552/;SYMBIOZ;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_66d17464634d8.jpg
Tesla MODEL Y 60 kWh - RWD;Tesla;MODEL-Y;60 kWh - RWD;Standard Range;29 999 €;N/A;N/A;Dès 292 €/mois;2023;38 346 km;455km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/tesla/model-y/standard-range/rv966382/;MODEL Y;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/stock/vo/966382/image/360/tesla-model-y-0-20260130102838-966382-100001-uhd.jpg
Citroën C5 Aircross Hybride 136 e-DCS6 Max;Citroen;C5-AIRCROSS;Hybride 136 e-DCS6 Max;Max;24 799 €;N/A;N/A;Dès 186 €/mois;2024;18 589 km;N/A;Micro-hybride essence;Auto.;6 jours;aramisauto;https://www.aramisauto.com/voitures/citroen/c5-aircross/max/rv919989/;C5 AIRCROSS;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/919989/51654034_20260111141010.jpg
MG MG4 Electric 51kWh - 125 kW 2WD;Mg;MG4;Electric 51kWh - 125 kW 2WD;Standard;21 499 €;30 640 €;Économisez 9 141 € (-30%);Dès 206 €/mois;2026;0 km;350km WLTP;Électrique;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/mg/mg4/standard/v345577/;MG4;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_655cbb0c5598c.jpg
Renault Clio 5 TCe 90 ch GSR2;Renault;CLIO-5;TCe 90 ch GSR2;Techno;17 999 €;24 100 €;Économisez 6 101 € (-25%);Dès 124 €/mois;2025;0 km;N/A;Essence;Manuelle;24 heures;aramisauto;https://www.aramisauto.com/voitures/renault/clio-5/techno/v343641/;CLIO;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_vehicles/production/betamodels/i_653925e1b072f.jpg
Peugeot 3008 Hybrid 136 eDCS6;Peugeot;3008;Hybrid 136 eDCS6;Allure;25 487 €;40 190 €;N/A;Dès 163 €/mois;2025;30 744 km;N/A;Micro-hybride essence;Auto.;24 heures;aramisauto;https://www.aramisauto.com/voitures/peugeot/3008/allure/rv966040/;3008;https://www.aramisauto.com/cdn-cgi/image/format=auto,quality=75,width=572/https://storage.googleapis.com/aramis_mp_prod/pictures/966040/51824427_20260121191023.jpg
